HP-ICF-SECURITY,1.3.6.1.4.1.11.2.14.4.1,icfSecurPassword,DISPLAYSTRING,READ-WRITE,"********* THIS OBJECT IS DEPRECATED ********* This variable contains a string which is used both as the community name for the password community, and as the login password for the console port. This community name is needed for most SET operations. In addition, the variables in the ICF security group are only visible within the password community, and must use the value of this variable as the community name for GET operations. If the value of this variable is equal to the null string, the community name 'public' or the null string will be treated the same as the password community. This object has been deprecated. Its functionality has been replaced by the icfCommunityTable."
HP-ICF-SECURITY,1.3.6.1.4.1.11.2.14.4.2,icfSecurAuthAnyMgr,INTEGER,READ-WRITE,"********* THIS OBJECT IS DEPRECATED ********* When this variable is set to enabled, any manager with a valid community name may perform SET operations on this device. In this configuration, entries in the icfSecurAuthMgrTable are used only for trap destinations. If this variable is set to disabled, a manager must be in the icfSecurAuthMgrTable and have a valid community name in order to perform SET operations. This object has been deprecated. Its functionality has been replaced by the icfAuthMgrTable."
HP-ICF-SECURITY,1.3.6.1.4.1.11.2.14.4.3,icfSecurAuthMgrTable,"SEQUENCE OF ICFSECURAUTHMGRENTRY",NOT-ACCESSIBLE,"********* THIS OBJECT IS DEPRECATED ********* This table contains a list of addresses of managers that are allowed to perform SET operations on this device, and controls the destination addresses for traps. If icfSecurAuthAnyMgr is set to disabled, a manager must be in this table and use the correct community name for the password community in order to perform a GET operation on this table. This table has been deprecated. It is replaced by the icfAuthMgrTable. The trap destination functionality has been replaced by the hpicfTrapDestTable."
HP-ICF-SECURITY,1.3.6.1.4.1.11.2.14.4.3.1,icfSecurAuthMgrEntry,SEQUENCE,NOT-ACCESSIBLE,"********* THIS OBJECT IS DEPRECATED ********* An entry in the icfSecurAuthMgrTable containing information about a single manager. This table has been deprecated. It is replaced by the icfAuthMgrTable. The trap destination functionality has been replaced by the hpicfTrapDestTable."
HP-ICF-SECURITY,1.3.6.1.4.1.11.2.14.4.3.1.1,icfAuthMgrIndex,INTEGER32,READ-ONLY,"********* THIS OBJECT IS DEPRECATED ********* This object contains the index which uniquely identifies this entry in the icfSecurAuthMgrTable. This table has been deprecated. It is replaced by the icfAuthMgrTable. The trap destination functionality has been replaced by the hpicfTrapDestTable."
HP-ICF-SECURITY,1.3.6.1.4.1.11.2.14.4.3.1.2,icfAuthMgrIpAddress,IPADDRESS,READ-WRITE,"********* THIS OBJECT IS DEPRECATED ********* The IP address of a manager that is allowed to manage this device. Setting this variable to a nonzero value will clear the corresponding instance of the icfAuthMgrIpxAddress variable. This table has been deprecated. It is replaced by the icfAuthMgrTable. The trap destination functionality has been replaced by the hpicfTrapDestTable."
HP-ICF-SECURITY,1.3.6.1.4.1.11.2.14.4.3.1.3,icfAuthMgrIpxAddress,OCTETSTRING,READ-WRITE,"********* THIS OBJECT IS DEPRECATED ********* The IPX address of a manager that is allowed to manage this device. Setting this variable to a valid IPX address will clear the corresponding instance of the icfAuthMgrIpAddress variable. This table has been deprecated. It is replaced by the icfAuthMgrTable. The trap destination functionality has been replaced by the hpicfTrapDestTable."
HP-ICF-SECURITY,1.3.6.1.4.1.11.2.14.4.3.1.4,icfAuthMgrRcvTraps,INTEGER,READ-WRITE,"********* THIS OBJECT IS DEPRECATED ********* If this variable is set to enabled, any traps generated by this device will be sent to the manager indicated by the corresponding instance of either icfAuthMgrIpAddress or icfAuthMgrIpxAddress, whichever is valid. This table has been deprecated. It is replaced by the icfAuthMgrTable. The trap destination functionality has been replaced by the hpicfTrapDestTable."
HP-ICF-SECURITY,1.3.6.1.4.1.11.2.14.4.4,icfSecurIntruder,"OBJECT IDENTIFIER",READ-WRITE,
HP-ICF-SECURITY,1.3.6.1.4.1.11.2.14.4.4.1,icfSecurIntruderFlag,INTEGER,READ-WRITE,"If this object is set to 'valid', the remainder of the intruder objects contain information about an authentication failure. The Security LED on the device will blink if this flag is set to 'valid'. The intruder objects will not be overwritten as long as this flag is set to 'valid'. Setting this flag to 'invalid' will turn off the Security LED if there are no other current violations, and will allow the intruder objects to be overwritten by subsequent authentication failures."
